"species","Long","Lat","Family","FAO_AREA","Year"
"1","Abudefduf vaigiensis",174.2658,-35.2243,"Pomacentridae"," 81",1996
"2","Acanthistius cinctus",174.7383,-35.44607,"Serranidae"," 81",2018
"3","Acanthistius cinctus",-178.441861,-30.22847,"Serranidae"," 81",2011
"4","Acanthistius cinctus",174.738268,-35.44607,"Serranidae"," 81",2018
"5","Acanthoclinus fuscus",174.818863,-38.06892,"Plesiopidae"," 81",2018
"6","Acanthoclinus fuscus",174.847605,-38.06131,"Plesiopidae"," 81",2021
"7","Acanthoclinus fuscus",174.846466,-38.062009,"Plesiopidae"," 81",2021
"8","Acanthoclinus fuscus",174.8991,-36.8484,"Plesiopidae"," 81",2018
"9","Acanthoclinus fuscus",174.8238,-41.33944,"Plesiopidae"," 81",2018
"10","Acanthoclinus fuscus",174.818771,-38.068829,"Plesiopidae"," 81",2018
"11","Acanthoclinus fuscus",174.774359,-36.4411,"Plesiopidae"," 81",2021
"12","Acanthoclinus fuscus",175.51756,-37.048285,"Plesiopidae"," 81",2019
"13","Acanthoclinus fuscus",174.832957,-41.28997,"Plesiopidae"," 81",2021
"14","Acanthoclinus fuscus",173.479036,-34.989085,"Plesiopidae"," 81",2019
"15","Acanthoclinus fuscus",174.759067,-36.69298,"Plesiopidae"," 81",2019
"16","Acanthoclinus fuscus",174.774802,-41.344603,"Plesiopidae"," 81",2019
"17","Acanthoclinus fuscus",175.4725,-36.75044,"Plesiopidae"," 81",2017
"18","Acanthoclinus fuscus",174.509,-37.0467,"Plesiopidae"," 81",2008
"19","Acanthoclinus fuscus",174.611,-37.0156,"Plesiopidae"," 81",2018
"20","Acanthoclinus fuscus",174.820073,-38.06705,"Plesiopidae"," 81",2019
"21","Acanthoclinus fuscus",172.965734,-43.80522,"Plesiopidae"," 81",2014
"22","Acanthoclinus fuscus",168.8457,-46.66029,"Plesiopidae"," 81",2018
"23","Acanthoclinus fuscus",174.901,-41.249,"Plesiopidae"," 81",1987
"24","Acanthoclinus fuscus",173.1104,-34.73262,"Plesiopidae"," 81",2016
